State,Latitude,Longitude,2008 Number of Fires,2008 Acres Burned,2009 Number of Fires,2009 Acres Burned,2010 Number of Fires,2010 Acres Burned,2011 Number of Fires,2011 Acres Burned,2012 Number of Fires,2012 Acres Burned,2013 Number of Fires,2013 Acres Burned,2014 Number of Fires,2014 Acres Burned,2015 Number of Fires,2015 Acres Burned,2016 Number of Fires,2016 Acres Burned,2017 Number of Fires,2017 Acres Burned,2018 Number of Fires,2018 Acres Burned
Alaska,65.53,-152.40,340.00,62648.00,527.00,2951597.00,689.00,1125419.00,515.00,293018.00,416.00,286887.00,603.00,1316876.00,384.00,233561.00,768.00,5111404.00,572.00,496467.00,364.00,653023.00,367.00,410683.00
Alabama,32.81,-86.79,3103.00,32447.00,28.00,840.00,2561.00,24956.00,3073.00,71311.00,1531.00,24267.00,1284.00,25623.00,2093.00,40527.00,3198.00,47380.00,3923.00,59030.00,1254.00,20192.00,970.00,15464.00
Arkansas,34.97,-92.37,917.00,10941.00,1125.00,19229.00,2353.00,37671.00,2627.00,54032.00,2389.00,39765.00,881.00,14733.00,1302.00,20164.00,1837.00,26630.00,1513.00,33371.00,1706.00,34624.00,1119.00,24071.00
Arizona,33.73,-111.43,1850.00,85496.00,2371.00,263358.00,1601.00,76318.00,1988.00,1016428.00,1684.00,216090.00,1756.00,105281.00,1543.00,205199.00,1662.00,160152.00,2288.00,308245.00,2321.00,429564.00,2000.00,165356.00
California,36.12,-119.68,4108.00,1375781.00,9159.00,405585.00,6554.00,109529.00,7989.00,126854.00,7950.00,869599.00,9907.00,577675.00,7865.00,555044.00,8745.00,893362.00,7349.00,5960815.00,9560.00,1266224.00,8054.00,1823153.00
Colorado,39.06,-105.31,1131.00,141964.00,1190.00,50456.00,1169.00,44020.00,1286.00,161167.00,1498.00,246445.00,1176.00,195145.00,830.00,24949.00,709.00,22602.00,1190.00,129495.00,967.00,111667.00,1328.00,475803.00
Connecticut,41.60,-72.76,330.00,893.00,264.00,246.00,69.00,267.00,169.00,244.00,180.00,417.00,76.00,238.00,28.00,69.00,76.00,159.00,268.00,778.00,97.00,243.00,52.00,40.00
Delaware,39.32,-75.51,20.00,36.00,19.00,44.00,12.00,32.00,0.00,0.00,0.00,0.00,4.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,6.00,0.00,0.00
Florida,27.77,-81.69,2939.00,156102.00,2939.00,156102.00,2984.00,63091.00,5102.00,299991.00,2227.00,66868.00,101.00,7660.00,2436.00,101599.00,2422.00,73432.00,3067.00,74416.00,3280.00,298831.00,2249.00,138820.00
Georgia,33.04,-83.64,5454.00,23081.00,3732.00,13714.00,4273.00,20137.00,8387.00,149222.00,3331.00,19136.00,2942.00,6736.00,3562.00,19199.00,2331.00,10556.00,5086.00,52119.00,3929.00,200785.00,2572.00,14236.00
Hawaii,21.09,-157.50,0.00,0.00,1.00,7800.00,9.00,10172.00,3.00,2178.00,2.00,1802.00,0.00,0.00,0.00,0.00,17.00,5611.00,10.00,15098.00,3.00,2098.00,3.00,21979.00
Iowa,42.01,-93.21,117.00,2217.00,718.00,8565.00,123.00,2722.00,561.00,2145.00,10.00,349.00,436.00,14704.00,577.00,11347.00,533.00,14945.00,465.00,21371.00,427.00,7216.00,386.00,8014.00
Idaho,44.24,-114.48,997.00,116796.00,1142.00,22681.00,984.00,642997.00,1094.00,384103.00,1149.00,1667654.00,1471.00,722204.00,1180.00,189430.00,1324.00,804094.00,630.00,361649.00,1598.00,686262.00,1132.00,604481.00
Illinois,40.35,-88.99,15.00,16.00,115.00,1155.00,121.00,1330.00,62.00,2019.00,157.00,1848.00,24.00,55.00,36.00,727.00,18.00,806.00,12.00,133.00,13.00,98.00,6.00,120.00
Indiana,39.85,-86.26,572.00,1064.00,2083.00,4706.00,1296.00,7940.00,27.00,530.00,69.00,1846.00,19.00,806.00,54.00,276.00,16.00,868.00,27.00,620.00,22.00,553.00,26.00,115.00
Kansas,38.38,-98.40,68.00,64772.00,100.00,40278.00,51.00,25055.00,99.00,111128.00,71.00,53607.00,16.00,7137.00,68.00,31261.00,154.00,53936.00,75.00,349829.00,71.00,476306.00,71.00,59234.00
Kentucky,37.67,-84.67,1552.00,38474.00,1432.00,43741.00,1911.00,60287.00,3079.00,52763.00,1293.00,35397.00,1030.00,25084.00,1466.00,43199.00,774.00,19207.00,1220.00,73864.00,892.00,28927.00,376.00,8417.00
Louisiana,31.17,-91.87,1359.00,17332.00,1578.00,29272.00,2374.00,35448.00,3079.00,52763.00,967.00,11088.00,1027.00,17883.00,1005.00,25337.00,1172.00,21036.00,508.00,7799.00,1064.00,11356.00,647.00,10742.00
Massachusetts,42.23,-71.53,1833.00,2918.00,1121.00,1144.00,2027.00,2156.00,1116.00,545.00,1446.00,1027.00,1132.00,879.00,1169.00,1197.00,1525.00,1762.00,1526.00,1381.00,1216.00,844.00,320.00,210.00
Maryland,39.06,-76.80,564.00,2421.00,414.00,4956.00,176.00,1590.00,131.00,8310.00,161.00,838.00,126.00,182.00,125.00,1802.00,158.00,1078.00,120.00,242.00,108.00,2178.00,76.00,359.00
Maine,44.69,-69.38,442.00,535.00,482.00,481.00,558.00,353.00,308.00,116.00,551.00,489.00,426.00,743.00,282.00,158.00,375.00,574.00,796.00,946.00,489.00,369.00,542.00,678.00
Michigan,43.33,-84.54,412.00,2675.00,508.00,3899.00,623.00,12122.00,322.00,1865.00,777.00,28377.00,436.00,940.00,268.00,716.00,526.00,3806.00,389.00,3669.00,270.00,736.00,431.00,3786.00
Minnesota,45.69,-93.90,1136.00,19712.00,1371.00,13858.00,2067.00,34121.00,1238.00,135650.00,2391.00,64682.00,1115.00,22107.00,990.00,4367.00,1849.00,30563.00,1422.00,12268.00,1036.00,5553.00,1344.00,17005.00
Missouri,38.46,-92.29,1051.00,9765.00,2957.00,42241.00,1397.00,22274.00,2732.00,55395.00,701.00,26456.00,51.00,1660.00,105.00,5607.00,3161.00,29893.00,2610.00,32134.00,3398.00,8459.00,103.00,6025.00
Mississippi,32.74,-89.68,1898.00,27399.00,2366.00,31280.00,3354.00,34810.00,2341.00,42036.00,10.00,135.00,5.00,33.00,97.00,10053.00,2294.00,34769.00,94.00,8128.00,2775.00,40595.00,1168.00,21194.00
Montana,46.92,-110.45,1421.00,166840.00,1731.00,48912.00,1050.00,4213.00,1335.00,168010.00,2213.00,1220655.00,1723.00,124209.00,1646.00,38118.00,2432.00,351264.00,2026.00,114594.00,2422.00,1366498.00,1342.00,97814.00
North Carolina,35.63,-79.81,4414.00,95938.00,3344.00,25142.00,4213.00,21463.00,5279.00,119482.00,3463.00,35590.00,3514.00,24547.00,4625.00,15601.00,3828.00,15220.00,4007.00,88109.00,5125.00,46507.00,3625.00,18058.00
North Dakota,47.53,-99.78,936.00,38620.00,302.00,3404.00,460.00,3854.00,353.00,2862.00,1094.00,32030.00,515.00,16116.00,567.00,4069.00,726.00,32321.00,563.00,4657.00,1086.00,19841.00,1026.00,19557.00
Nebraska,41.61,-99.86,15.00,374.00,44.00,1164.00,27.00,1142.00,80.00,29643.00,149.00,316015.00,10.00,63.00,38.00,992.00,51.00,4854.00,45.00,24498.00,49.00,3160.00,35.00,122.00
New Hampshire,43.45,-71.56,274.00,195.00,289.00,159.00,358.00,145.00,169.00,48.00,312.00,221.00,85.00,137.00,62.00,45.00,114.00,622.00,148.00,880.00,36.00,123.00,145.00,61.00
New Jersey,40.30,-74.52,1237.00,3322.00,775.00,1131.00,3616.00,18495.00,708.00,794.00,1068.00,3095.00,1013.00,1430.00,962.00,10400.00,1013.00,2685.00,1050.00,4445.00,735.00,5144.00,625.00,1347.00
New Mexico,34.84,-106.25,1207.00,487652.00,1278.00,421481.00,998.00,233056.00,1875.00,1286487.00,1029.00,372497.00,1064.00,221951.00,728.00,23440.00,696.00,44104.00,1240.00,212425.00,813.00,141663.00,1334.00,382345.00
Nevada,39.32,-116.58,452.00,71930.00,688.00,33366.00,487.00,23869.00,817.00,424170.00,944.00,613126.00,763.00,162907.00,531.00,59252.00,551.00,42479.00,467.00,265156.00,768.00,1329289.00,649.00,1001966.00
New York,42.17,-74.95,156.00,3629.00,158.00,1404.00,154.00,2087.00,47.00,232.00,168.00,2127.00,138.00,1073.00,94.00,582.00,186.00,3844.00,196.00,4236.00,57.00,191.00,109.00,848.00
Ohio,40.39,-82.76,348.00,1078.00,1164.00,10962.00,571.00,4218.00,246.00,1203.00,309.00,1250.00,31.00,152.00,63.00,684.00,69.00,548.00,410.00,1116.00,68.00,733.00,67.00,337.00
Oklahoma,35.57,-96.93,5572.00,196563.00,1773.00,153948.00,1735.00,85770.00,2486.00,293381.00,1595.00,232579.00,610.00,26490.00,1007.00,157080.00,1309.00,100382.00,1938.00,767780.00,1906.00,502625.00,1707.00,745097.00
